상호명,소재지,경도,위도
대산농협,경상북도 김천시 대덕면 관기리 138-15,127.97441876903079,35.92632877493597
김천유통영농조합법인,경상북도 김천시 대항면 이로리길 69,128.064241142,36.126308290
김천유통영농조합법인,경상북도 김천시 다수동 510번지 1호,128.0626728744702,36.12540578223084
한국농수산식품유통공사,대구광역시 동구 괴전동 258번지,128.74034526410856,35.8703443367488
동원로엑스(주),경상북도 경산시 진량읍 신상리 1187번지,128.83454615049322,35.87716877581617
(주)대한냉동,경상북도 경산시 진량읍 다문리 41번지 3호,128.85217936357662,35.88001981608827
어신창고,경상북도 예천군 지보면 예지로 667,128.412673242,36.572583800
씨제이대한통운(주),경상북도 포항시 남구 괴동동 911번지 6호,129.36758726688015,35.99834519783951
주식회사 비지에프로지스 대구,경상북도 칠곡군 석적읍 호국로 608,128.439148687,36.033423367
대상(주),경상북도 칠곡군 지천면 금호리 117번지 6호,128.4407000564765,35.954361536087305
주식회사 지에스네트웍스(경산지점),경상북도 경산시 진량읍 선화리 256-3,128.80412444759872,35.868864706278075
오뚜기물류서비스(주),대구광역시 북구 산격동 1608,128.6082437132958,35.908764029163066
오뚜기물류서비스(주),경상북도 칠곡군 왜관읍 아곡리 304-15,128.42658699175422,36.01970587679716
(주)케이비경산로지스틱스위탁관리부동산투자회사,경상북도 경산시 하양읍 대학리 984,128.82195877692692,35.943367187901515
윤우상창고,경상북도 예천군 용궁면 읍부리 166-4 외 3필지,128.28080889614876,36.607769961205335
도청창고,경상북도 예천군 지보면 어신리 1194-6,128.4133688764769,36.572885458477586
(주)유진로지스틱스,경상북도 칠곡군 지천면 금호리 117-6,128.44284817595502,35.95443114367727
(주)오브,경상북도 경주시 감포읍 감포리 171-2,129.50162560202432,35.817543914829805
경주시수산업협동조합,경상북도 경주시 감포읍 감포항구길 28-10,129.502742832,35.806155581
포항수산업협동조합제빙공장,경상북도 포항시 남구 희망대로1310(송도동),129.378772412,36.046572832
㈜연우,경상북도 경주시 감포읍 경감로 2605,129.455888244,35.791468218
(주)미식수산,경상북도 울진군 후포면 반소골길 43 ,129.426434300,36.661601489
구룡포수협 제빙냉동공장,경상북도 포항시 남구 구룡포읍 병포리 157-295,129.55258967681988,35.984539205286154
부강가쓰오,경상북도 청도군 각남면 한재로 1356,128.645129892,35.628407140
부강가쓰오,경상북도 청도군 각남면 한재로 1356,128.645129892,35.628407140
삼가영,경상북도 포항시 남구 구룡포읍 구룡포리 959-1,129.5555105219525,35.99078553197175
(주)바다마을,대구광역시 북구 노원로 215(침산동),128.583621246,35.900787362
(주)목양에프원,경상북도 울진군 후포면 중밤터2길 43-7 ,129.434905868,36.684474020
㈜에스앤비인터내셔널,경상북도 청도군 각남면 한재로 1346,128.646020136,35.628030009
대왕수산,경상북도 영덕군 축산면 축산항초교길 19,129.440830001,36.508448173
주신수산식품(주),경상북도 울진군 후포면 울진대게로 201 ,129.460726534,36.680392529
진우수산,경상북도 구미시 오태동 오태3길 19,128.358334969,36.073955085
㈜세동푸드,경상북도 구미시 오태3길 21,128.358384103,36.074365422
동명씨푸드(주),경상북도 울진군 후포면 못골길 17-15 ,129.440580313,36.691988122
포항구룡포과메기사업 협동조합,경상북도 포항시 남구 구룡포읍 호미로180-30,129.551691121,35.986449392
미드미에프에스,경상북도 칠곡군 지천면 금호불동3길 42,128.439054205,35.949916665
(주)미드미,경상북도 칠곡군 지천면 금호불동3길 42,128.439054205,35.949916665
농업회사법인 주식회사 달구지유통,대구광역시 달성군 옥포읍 시저로 37,128.429619290,35.782451767
